Quest Name,Objective,Steps,Min Level,Max Level,First Step Position,Active Bots,Successful Bots,Unsuccessful Bots
Delivery from the Past,"Zone case_extraction",1,5,17,"(41.7, 4.4, 40.8)",zicoman (Level 17),,
Bad Rep Evidence,"Zone locked_office",1,6,18,"(30.1, 8.3, 38.9)",,,
Ice Cream Cones,"Zone bunker2",0,9,24,N/A,,,
Postman Pat - Part 1,"Item Sealed letter",1,10,25,"(-18.6, 0.4, 22.3)",,,
Shaking up the Teller,"Zone room214",0,9,24,N/A,,,
Sanitary Standards - Part 1,"Zone pumproom",1,4,15,"(40.4, 3.7, -11.2)",,,
Operation Aquarius - Part 1,"Zone room206_water",0,6,18,N/A,,,
Pharmacist,"Zone vaz_feld",0,10,25,N/A,,,
Pharmacist,"Zone room114",0,10,25,N/A,,,
The Extortionist,"Zone dead_posylni",0,7,20,N/A,,,
The Extortionist,"Zone vremyan_case",0,7,20,N/A,,,
Golden Swag,"Zone extraction_zone_zibbo",0,8,22,N/A,,,
Chemical - Part 1,"Zone bomj_place",0,10,25,N/A,,,
Chemical - Part 3,"Item Syringe with a chemical",1,11,27,"(26.8, 8.2, 38.2)",Bepis (Level 14),,
Chemical - Part 4,"Zone gazel",0,11,27,N/A,,,
Out of Curiosity,"Zone gazel",0,11,27,N/A,,,
Big Customer,"Zone gazel",0,11,27,N/A,,,
BP Depot,"Zone fuel1",0,5,17,N/A,,,
BP Depot,"Zone fuel2",0,5,17,N/A,,,
BP Depot,"Zone fuel3",0,5,17,N/A,,,
BP Depot,"Zone fuel4",0,5,17,N/A,,,
Spa Tour - Part 2,"Zone place_peacemaker_008_2_N1",0,12,29,N/A,,,
Spa Tour - Part 2,"Zone place_peacemaker_008_2_N2",0,12,29,N/A,,,
Spa Tour - Part 4,"Zone place_peacemaker_008_4_N1",0,12,29,N/A,,,
Spa Tour - Part 4,"Zone place_peacemaker_008_4_N2",0,12,29,N/A,,,
Fishing Gear,"Zone place_peacemaker_001",0,10,25,N/A,,,
Tigr Safari,"Zone place_peacemaker_002_N1",0,10,25,N/A,,,
Tigr Safari,"Zone place_peacemaker_002_N2",0,10,25,N/A,,,
Tigr Safari,"Zone place_peacemaker_002_N3",0,10,25,N/A,,,
Scrap Metal,"Zone place_peacemaker_003_N1",0,10,25,N/A,,,
Scrap Metal,"Zone place_peacemaker_003_N2",0,10,25,N/A,,,
Scrap Metal,"Zone place_peacemaker_003_N3",0,10,25,N/A,,,
Eagle Eye,"Zone place_peacemaker_004_N1",0,11,27,N/A,,,
Eagle Eye,"Zone place_peacemaker_004_N2",0,11,27,N/A,,,
Humanitarian Supplies,"Zone place_peacemaker_005_N1",0,11,27,N/A,,,
Humanitarian Supplies,"Zone place_peacemaker_005_N2",0,11,27,N/A,,,
The Cult - Part 1,"Zone place_peacemaker_007_1_N1",0,12,29,N/A,,,
The Cult - Part 2,"Zone place_peacemaker_007_2_N2",0,12,29,N/A,,,
The Cult - Part 2,"Zone place_peacemaker_007_N1",0,12,29,N/A,,,
The Cult - Part 2,"Zone place_peacemaker_007_2_N2_1",0,12,29,N/A,,,
The Cult - Part 2,"Zone place_peacemaker_007_2_N3",0,12,29,N/A,,,
Cargo X - Part 2,"Zone place_peacemaker_009_2",0,12,29,N/A,,,
Cargo X - Part 3,"Zone place_peacemaker_009_3_N1",0,12,29,N/A,,,
Wet Job - Part 2,"Zone place_peacemaker_010_2",0,14,33,N/A,,,
Wet Job - Part 3,"Zone place_peacemaker_010_3",0,14,33,N/A,,,
Health Care Privacy - Part 1,"Zone ter_013_area_1",0,10,25,N/A,,,
Health Care Privacy - Part 1,"Zone ter_013_area_2",0,10,25,N/A,,,
Health Care Privacy - Part 1,"Zone ter_013_area_3",0,10,25,N/A,,,
Health Care Privacy - Part 3,"Zone ter_015_area_1",0,10,25,N/A,,,
Health Care Privacy - Part 5,"Zone ter_017_area_1",0,10,25,N/A,,,
Farming - Part 1,"Zone place_SADOVOD_01_1",1,12,29,"(68.2, 0.1, -7.4)",,F1oridaMan (Level 18),
Farming - Part 1,"Zone place_SADOVOD_01_2",1,12,29,"(59.8, 0.1, -48.4)",,F1oridaMan (Level 18),
Farming - Part 3,"Zone place_SADOVOD_03",0,14,33,N/A,,,
Signal - Part 1,"Zone place_SIGNAL_01_1",0,12,29,N/A,,,
Signal - Part 1,"Zone place_SIGNAL_01_2",0,12,29,N/A,,,
Signal - Part 3,"Zone place_SIGNAL_03_1",0,15,35,N/A,,,
Signal - Part 3,"Zone place_SIGNAL_03_2",0,15,35,N/A,,,
Signal - Part 3,"Zone place_SIGNAL_03_3",0,15,35,N/A,,,
Scout,"Zone place_pacemaker_SCOUT_01",1,12,29,"(66.1, -2.6, -30.4)",CreamCheese (Level 21),,
Scout,"Zone place_pacemaker_SCOUT_02",1,12,29,"(-53.1, 1.3, 58.2)",,CreamCheese (Level 21),
Scout,"Zone place_pacemaker_SCOUT_03",1,12,29,"(59.7, 0.3, 57.3)",Terkoiz (Level 16),,
Scout,"Zone place_pacemaker_SCOUT_04",1,12,29,"(-18.4, 0.2, -48.7)",,,
Big Sale,"Zone place_SALE_03_AVOKADO",0,15,35,N/A,,,
Big Sale,"Zone place_SALE_03_KOSTIN",0,15,35,N/A,,,
Big Sale,"Zone place_SALE_03_TREND",0,15,35,N/A,,,
Big Sale,"Zone place_SALE_03_DINO",0,15,35,N/A,,,
Big Sale,"Zone place_SALE_03_TOPBRAND",0,15,35,N/A,,,
The Blood of War - Part 1,"Zone place_WARBLOOD_04_1",0,15,35,N/A,,,
The Blood of War - Part 1,"Zone place_WARBLOOD_04_2",0,15,35,N/A,,,
The Blood of War - Part 1,"Zone place_WARBLOOD_04_3",0,15,35,N/A,,,
Gratitude,"Zone place_THX_15",0,15,35,N/A,,,
Hot Delivery,"Zone place_merch_020_1",0,29,59,N/A,,,
Hot Delivery,"Zone place_merch_020_2",0,29,59,N/A,,,
Minibus,"Zone place_merch_21_1",0,24,51,N/A,,,
Minibus,"Zone place_merch_21_2",0,24,51,N/A,,,
Minibus,"Zone place_merch_21_3",0,24,51,N/A,,,
Informed Means Armed,"Zone place_skier_11_1",0,24,51,N/A,,,
Informed Means Armed,"Zone place_skier_11_2",0,24,51,N/A,,,
Informed Means Armed,"Zone place_skier_11_3",0,24,51,N/A,,,
Chumming,"Zone place_skier_12_1",0,27,56,N/A,,,
Chumming,"Zone place_skier_12_2",0,27,56,N/A,,,
Chumming,"Zone place_skier_12_3",0,27,56,N/A,,,
Bullshit,"Zone Q019_3",0,30,60,N/A,,,
The Blood of War - Part 3,"Zone bar_fuel3_1",0,30,60,N/A,,,
The Blood of War - Part 3,"Zone bar_fuel3_2",0,30,60,N/A,,,
The Blood of War - Part 3,"Zone bar_fuel3_3",0,30,60,N/A,,,
Introduction,"Zone huntsman_001",0,2,11,N/A,,,
The Survivalist Path - Thrifty,"Zone huntsman_005_1",0,2,11,N/A,,,
The Survivalist Path - Thrifty,"Zone huntsman_005_2",0,2,11,N/A,,,
The Huntsman Path - Secured Perimeter,"Zone huntsman_013",1,2,11,"(27.9, 1.1, 46.0)",,,
The Huntsman Path - Evil Watchman,"Zone huntsman_020",0,2,11,N/A,,,
Courtesy Visit,"Zone huntsman_024_1",0,20,45,N/A,,,
Courtesy Visit,"Zone huntsman_024_2",0,20,45,N/A,,,
Courtesy Visit,"Zone huntsman_024_3",0,20,45,N/A,,,
Nostalgia,"Zone huntsman_026",0,28,57,N/A,,,
Reserve,"Zone huntsman_029",0,20,45,N/A,,,
Anesthesia,"Zone prapor_022_area_1",0,21,47,N/A,,,
Anesthesia,"Zone prapor_022_area_2",0,21,47,N/A,,,
Anesthesia,"Zone prapor_022_area_3",0,21,47,N/A,,,
Colleagues - Part 1,"Zone ter_023_area_1_1",0,21,47,N/A,,,
Colleagues - Part 1,"Zone ter_023_area_3_1",0,21,47,N/A,,,
Colleagues - Part 1,"Zone ter_023_area_2_1",0,21,47,N/A,,,
Rigged Game,"Zone skier_022_area_1",0,21,47,N/A,,,
Rigged Game,"Zone skier_022_area_2",0,21,47,N/A,,,
Rigged Game,"Zone skier_022_area_3",0,21,47,N/A,,,
TerraGroup Employee,"Zone peace_027_area",0,23,50,N/A,,,
The Bunker - Part 1,"Zone prapor_024_area_2",0,10,25,N/A,,,
The Bunker - Part 1,"Zone prapor_024_area_1",0,10,25,N/A,,,
The Bunker - Part 2,"Zone prapor_025_area_1",0,11,27,N/A,,,
The Bunker - Part 2,"Zone prapor_025_area_2",0,11,27,N/A,,,
The Bunker - Part 2,"Zone prapor_025_area_3",0,11,27,N/A,,,
The Bunker - Part 2,"Zone prapor_025_area_4",0,11,27,N/A,,,
The Bunker - Part 2,"Zone prapor_025_area_5",0,11,27,N/A,,,
Chemistry Closet,"Zone place_meh_sanitar_room",0,22,48,N/A,,,
Search Mission,"Zone pr_scout_col",0,5,17,N/A,,,
Search Mission,"Zone pr_scout_base",0,5,17,N/A,,,
Revision - Reserve,"Zone tadeush_bmp2_area_check_2",0,14,33,N/A,,,
Revision - Reserve,"Zone tadeush_bmp2_area_mark_2",0,14,33,N/A,,,
Revision - Reserve,"Zone tadeush_bmp2_area_check_11",0,14,33,N/A,,,
Revision - Reserve,"Zone tadeush_bmp2_area_mark_11",0,14,33,N/A,,,
Revision - Reserve,"Zone tadeush_bmp2_area_check_12",0,14,33,N/A,,,
Revision - Reserve,"Zone tadeush_bmp2_area_mark_12",0,14,33,N/A,,,
Revision - Reserve,"Zone tadeush_bmp2_area_check_13",0,14,33,N/A,,,
Revision - Reserve,"Zone tadeush_bmp2_area_mark_13",0,14,33,N/A,,,
Revision - Reserve,"Zone tadeush_stryker_area_check_3",0,14,33,N/A,,,
Revision - Reserve,"Zone tadeush_stryker_area_mark_3",0,14,33,N/A,,,
Revision - Reserve,"Zone tadeush_stryker_area_check_4",0,14,33,N/A,,,
Revision - Reserve,"Zone tadeush_t90_area_check_1",0,14,33,N/A,,,
No Place for Renegades,"Zone prapor_hq_area_check_1",0,12,29,N/A,,,
Back Door,"Zone mechanik_exit_area_1",0,14,33,N/A,,,
Safe Corridor,"Zone lijnik_storage_area_1",0,15,35,N/A,,,
Inventory Check,"Zone baraholshik_arsenal_area_1",0,15,35,N/A,,,
Inventory Check,"Zone baraholshik_dejurniy_area_2",0,15,35,N/A,,,
Inventory Check,"Zone baraholshik_arsenal_area_3",0,15,35,N/A,,,
Inventory Check,"Zone baraholshik_arsenal_area_4",0,15,35,N/A,,,
Inventory Check,"Zone baraholshik_arsenal_area_5",0,15,35,N/A,,,
A Fuel Matter,"Zone baraholshik_fuel_area_2",0,15,35,N/A,,,
A Fuel Matter,"Zone baraholshik_fuel_area_3",0,15,35,N/A,,,
Pest Control,"Zone eger_barracks_area_1",0,20,45,N/A,,,
Pest Control,"Zone eger_barracks_area_2",0,20,45,N/A,,,
Capturing Outposts,"Zone prapor_27_1",0,42,82,N/A,,,
Capturing Outposts,"Zone prapor_27_2",0,42,82,N/A,,,
Capturing Outposts,"Zone prapor_27_3",0,42,82,N/A,,,
Capturing Outposts,"Zone prapor_27_4",0,42,82,N/A,,,
The Courier,"Zone mech_41_1",0,52,92,N/A,,,
The Courier,"Zone mech_41_2",0,52,92,N/A,,,
Long Line,"Zone place_merch_022_1",0,45,85,N/A,,,
Long Line,"Zone place_merch_022_2",0,45,85,N/A,,,
Long Line,"Zone place_merch_022_3",0,45,85,N/A,,,
Long Line,"Zone place_merch_022_4",0,45,85,N/A,,,
Long Line,"Zone place_merch_022_5",0,45,85,N/A,,,
Long Line,"Zone place_merch_022_6",0,45,85,N/A,,,
Long Line,"Zone place_merch_022_7",0,45,85,N/A,,,
Easy Job - Part 1,"Zone qlight_pr1_heli1_find",0,18,41,N/A,,,
Easy Job - Part 1,"Zone qlight_pr1_heli1_mark",0,18,41,N/A,,,
Easy Job - Part 2,"Zone qlight_pr1_heli2_kill",0,18,41,N/A,,,
Lost Contact,"Zone qlight_find_scav_group1",0,17,39,N/A,,,
Overpopulation,"Zone qlight_pc1_ucot_kill",0,15,35,N/A,,,
Energy Crisis,"Zone qlight_fuel_blood",0,25,53,N/A,,,
Energy Crisis,"Zone qlight_fuel_blood_bezovoz1",0,25,53,N/A,,,
Energy Crisis,"Zone qlight_fuel_blood_bezovoz2",0,25,53,N/A,,,
Energy Crisis,"Zone qlight_fuel_blood_bezovoz3",0,25,53,N/A,,,
Revision - Lighthouse,"Zone qlight_mark_vech1",0,14,33,N/A,,,
Revision - Lighthouse,"Zone qlight_mark_vech2",0,14,33,N/A,,,
Revision - Lighthouse,"Zone qlight_mark_vech3",0,14,33,N/A,,,
Revision - Lighthouse,"Zone qlight_mark_vech4",0,14,33,N/A,,,
Missing Cargo,"Zone qlight_find_crushed_heli",0,30,60,N/A,,,
The Hermit,"Zone qlight_hunt_fr_find",0,20,45,N/A,,,
Long Road,"Zone qlight_br_secure_road",0,20,45,N/A,,,
Cargo X - Part 4,"Zone qlight16_peace_terra",0,12,29,N/A,,,
Network Provider - Part 2,"Zone meh_42_radio_area_mark_1",0,35,70,N/A,,,
Network Provider - Part 2,"Zone meh_42_radio_area_mark_2",0,35,70,N/A,,,
Network Provider - Part 2,"Zone meh_42_radio_area_mark_3",0,35,70,N/A,,,
Network Provider - Part 2,"Zone meh_42_radio_area_mark_4",0,35,70,N/A,,,
Assessment - Part 1,"Zone meh_44_eastLight_kill",0,35,70,N/A,,,
Assessment - Part 2,"Zone meh_45_radio_area_mark_1",0,35,70,N/A,,,
Assessment - Part 2,"Zone meh_45_radio_area_mark_2",0,35,70,N/A,,,
